"ensembl_gene_id"	"pval"	"logFC"	"ci.hi"	"ci.lo"	"gene_biotype"	"gene"	"padj"	"contrast"	"model"
"ENSG00000138670"	1.77396596540427e-261	1.9076870707855	2.01583302732382	1.79954111424718	"protein_coding"	"RASGEF1B"	1.33295802640477e-257	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000169783"	6.40433990412277e-248	1.75536301145628	1.85405335256689	1.65667267034567	"protein_coding"	"LINGO1"	2.40611050197892e-244	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000091138"	1.66123265194955e-131	1.39216602089715	1.50682595598453	1.27750608580977	"protein_coding"	"SLC26A3"	4.16083404891631e-128	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000114933"	1.09904314942833e-92	1.2813932537934	1.40558470677704	1.15720180080975	"protein_coding"	"INO80D"	1.65164204496089e-89	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000101752"	2.97173797524092e-57	1.08563815959313	1.22176667219025	0.94950964699602	"protein_coding"	"MIB1"	3.1899484494229e-54	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000141668"	8.47636359845496e-34	1.05949562731782	1.22866070942541	0.890330545210231	"protein_coding"	"CBLN2"	5.30761633989921e-31	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000196071"	3.17245682050659e-39	0.953471607755739	1.11667344970772	0.790269765803759	"protein_coding"	"OR2L13"	2.38378405492865e-36	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000168490"	4.28918532432241e-47	0.920012216377067	1.06221036975917	0.777814062994961	"protein_coding"	"PHYHIP"	3.58099316966207e-44	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000092051"	8.58030606267545e-27	0.778162134821402	0.927869345916473	0.628454923726331	"protein_coding"	"JPH4"	4.29816131699622e-24	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000040731"	7.75088727789633e-15	0.739837757523095	0.920679403477074	0.558996111569116	"protein_coding"	"CDH10"	1.35442248851426e-12	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000070756"	5.58086672731975e-27	0.711143599986751	0.880402416983286	0.541884782990216	"protein_coding"	"PABPC1"	2.99651373428828e-24	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000120899"	1.69866893572535e-20	0.673029105685223	0.82451187390774	0.521546337462706	"protein_coding"	"PTK2B"	7.50811669590604e-18	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000005249"	8.15843563673218e-14	0.652769289261091	0.821887879315683	0.483650699206498	"protein_coding"	"PRKAR2B"	1.02170808957343e-11	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000145526"	7.63023866648633e-14	0.650930170216525	0.818233274643403	0.483627065789647	"protein_coding"	"CDH18"	9.71756158304716e-12	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000008056"	5.14761145911406e-18	0.643480289108204	0.796445389682354	0.490515188534053	"protein_coding"	"SYN1"	1.84186440494205e-15	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000075213"	3.30601965612194e-12	0.642395886260039	0.837268092067831	0.447523680452246	"protein_coding"	"SEMA3A"	2.72982765891212e-10	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000050165"	4.11758326639941e-15	0.626036440983909	0.788623499952746	0.463449382015072	"protein_coding"	"DKK3"	7.93321042659619e-13	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000137177"	1.90519818698218e-14	0.614899081079154	0.792991758234556	0.436806403923752	"protein_coding"	"KIF13A"	2.80699199548708e-12	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000087460"	3.90556382061862e-16	0.609846339451188	0.753784394202638	0.465908284699738	"protein_coding"	"GNAS"	9.46658275746076e-14	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000154654"	1.45311738671164e-18	0.590469202748504	0.736789619741604	0.444148785755404	"protein_coding"	"NCAM2"	5.45936202187565e-16	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000152214"	8.31901562211793e-09	0.581359283718566	0.769327758766298	0.393390808670835	"protein_coding"	"RIT2"	1.87714965118901e-07	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000113100"	2.11056342587449e-07	0.580783588463441	0.787014166475534	0.374553010451348	"protein_coding"	"CDH9"	2.61264803657676e-06	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000162545"	2.81479153932059e-15	0.57454399220645	0.722730360360024	0.426357624052875	"protein_coding"	"CAMK2N1"	5.87509545179303e-13	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000188641"	2.51525382353953e-10	0.570741867150686	0.741164624041477	0.400319110259895	"protein_coding"	"DPYD"	1.13853115843832e-08	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000130522"	3.53115367689176e-17	0.570441049612681	0.722838526529902	0.41804357269546	"protein_coding"	"JUND"	1.06132354912659e-14	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000196199"	4.67244810324388e-13	0.565870326486156	0.722142812728143	0.40959784024417	"protein_coding"	"MPHOSPH8"	4.68117000636994e-11	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000170242"	5.85890516943384e-11	0.556717776756547	0.72828340359205	0.385152149921043	"protein_coding"	"USP47"	3.28535921217357e-09	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000108551"	5.92870654345495e-15	0.551806126091673	0.706317583568401	0.397294668614945	"protein_coding"	"RASD1"	1.06067383256001e-12	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000111640"	7.17202903317706e-13	0.548427612392951	0.693625188854778	0.403230035931124	"protein_coding"	"GAPDH"	6.73632826941156e-11	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000078053"	2.02345993358025e-10	0.546928219444902	0.711079026050441	0.382777412839363	"protein_coding"	"AMPH"	9.56243895655472e-09	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000148516"	1.06995673213623e-08	0.545272884739918	0.732278487761055	0.35826728171878	"protein_coding"	"ZEB1"	2.29049996731385e-07	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000146243"	1.10969273692003e-10	0.5322320406001	0.70493974091557	0.359524340284629	"protein_coding"	"IRAK1BP1"	5.59612833907188e-09	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000183783"	2.24463816719526e-07	0.530001851361074	0.726978340085204	0.333025362636944	"protein_coding"	"KCTD8"	2.75142107476431e-06	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000162670"	8.03962287259015e-06	0.529493068441073	0.745694634024662	0.313291502857484	"protein_coding"	"BRINP3"	4.74919231640271e-05	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000117523"	6.98487526746889e-13	0.522045723472248	0.686597026453089	0.357494420491408	"protein_coding"	"PRRC2C"	6.6435889569318e-11	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000162599"	3.85928681536754e-09	0.509097623086716	0.688871743201853	0.329323502971579	"protein_coding"	"NFIA"	1.01393989967384e-07	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000139793"	2.66864114980488e-09	0.50766625193095	0.671186418257756	0.344146085604144	"protein_coding"	"MBNL2"	7.51017588001269e-08	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000165300"	2.43594093714479e-10	0.505355023113282	0.672498407542763	0.3382116386838	"protein_coding"	"SLITRK5"	1.10931273949733e-08	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000058404"	5.46846112141312e-14	0.504395821701191	0.639704127126996	0.369087516275386	"protein_coding"	"CAMK2B"	7.08448566660313e-12	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000101210"	3.01397755573913e-14	0.503962627892666	0.653861974038954	0.354063281746378	"protein_coding"	"EEF1A2"	4.11764133705888e-12	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000176978"	1.32136868903266e-11	0.500479679525331	0.651184246555356	0.349775112495306	"protein_coding"	"DPP7"	9.02614939035586e-10	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000266302"	3.87705726510664e-13	0.499439300037914	0.694218297643565	0.304660302432263	"protein_coding"	"AC098850.3"	4.04614004027935e-11	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000136237"	1.06626020853687e-08	0.496742309536511	0.670380350803476	0.323104268269547	"protein_coding"	"RAPGEF5"	2.29049996731385e-07	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000096968"	6.05709518032987e-08	0.494248106803082	0.679846231785935	0.308649981820229	"protein_coding"	"JAK2"	9.44515564135691e-07	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000165966"	3.99644637486495e-10	0.493646077677619	0.666293534606795	0.320998620748443	"protein_coding"	"PDZRN4"	1.70621011708723e-08	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000143013"	2.90640759665192e-12	0.492130599644431	0.631331128503324	0.352930070785539	"protein_coding"	"LMO4"	2.42652740902695e-10	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000152894"	1.54358604913794e-14	0.48678266690859	0.635977310449495	0.337588023367685	"protein_coding"	"PTPRK"	2.41635532775469e-12	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000175175"	4.17182821900896e-08	0.484250789711496	0.674711899164948	0.293789680258044	"protein_coding"	"PPM1E"	7.22283807318741e-07	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000074054"	7.3268237113585e-10	0.483439903470112	0.636344585895424	0.3305352210448	"protein_coding"	"CLASP1"	2.82326940344348e-08	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000176204"	4.89708345388951e-07	0.482755720979835	0.66051181832449	0.304999623635181	"protein_coding"	"LRRTM4"	5.09061684865137e-06	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000151490"	1.014708825236e-07	0.480793669845109	0.660754613792455	0.300832725897764	"protein_coding"	"PTPRO"	1.41456810998577e-06	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000059915"	1.41335877993555e-12	0.477650557164777	0.630562693131887	0.324738421197667	"protein_coding"	"PSD"	1.24940916146302e-10	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000138801"	6.41746576470317e-10	0.474784042197094	0.650550316603928	0.299017767790259	"protein_coding"	"PAPSS1"	2.51150196645727e-08	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
"ENSG00000088179"	9.32295130056389e-09	0.471722638345417	0.657650461567886	0.285794815122947	"protein_coding"	"PTPN4"	2.06037223742462e-07	"groupLow"	"~group+individual+cngeneson+sex+age+PMI+RIN+seqdate+pc_mito"
