barcode	manifest	individual	diagnosis	sex	total_counts	total_features_by_counts	pc_mito	pc_ribo	is_singlet	clusters	partitions	Allan2019_ML1	Allan2019_ML2	Zeisel2018_ML4	Zeisel2018_ML5	allan_celltype	allan_layer	allan_cluster_gene_1	allan_cluster_gene_2	cluster_celltype
fonij_1_Teinh_1	fonij	1	Cases	F	2606	1466	0	0.0395271518285925	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_2	fonij	1	Cases	F	4391	2221	0	0.0331941085952957	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_3	fonij	1	Cases	F	3410	1762	0	0.0235594663638944	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_4	fonij	1	Cases	F	3882	1912	0	0.033099297893681	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_5	fonij	1	Cases	F	2199	1364	0	0.010412147505423	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_6	fonij	1	Cases	F	2101	1313	0	0.0314064633591261	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_7	fonij	1	Cases	F	1859	1178	0	0.0301298701298701	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_8	fonij	1	Cases	F	3343	1739	0	0.0230880230880231	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_9	fonij	1	Cases	F	4094	1956	0	0.0238770685579196	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_10	fonij	1	Cases	F	2863	1640	0	0.028956228956229	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_11	fonij	1	Cases	F	2521	1498	0	0.0351413292589763	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
