"lower","alpha_cutoff","niters","emptydrops_found","cells_found","n_limited","uniformity_method","uniformity_statistic","uniformity_pval"
50,0.001,10000,736126,1154,1041,"Kolmogorov-Smirnov test for uniformity",0.999176983573746,0.188
55,0.001,10000,736126,1154,630,"Kolmogorov-Smirnov test for uniformity",0.999158387633045,0.2
60,0.001,10000,736126,1154,515,"Kolmogorov-Smirnov test for uniformity",0.999665020647434,0.04
65,0.001,10000,736126,1154,436,"Kolmogorov-Smirnov test for uniformity",0.999460974121347,0.1
70,0.001,10000,736126,1154,385,"Kolmogorov-Smirnov test for uniformity",0.999666342355174,0.036
75,0.001,10000,736126,1154,422,"Kolmogorov-Smirnov test for uniformity",0.999669223007625,0.032
80,0.001,10000,736126,1154,495,"Kolmogorov-Smirnov test for uniformity",0.999668486308485,0.034
85,0.001,10000,735709,1571,0,"Kolmogorov-Smirnov test for uniformity",0.999759723980565,0.019
90,0.001,10000,735769,1511,0,"Kolmogorov-Smirnov test for uniformity",0.999857442853775,0.01
95,0.001,10000,735648,1632,0,"Kolmogorov-Smirnov test for uniformity",0.999666431528236,0.041
100,0.001,10000,735629,1651,0,"Kolmogorov-Smirnov test for uniformity",0.999558200339873,0.059
105,0.001,10000,735701,1579,0,"Kolmogorov-Smirnov test for uniformity",0.999084182849591,0.26
110,0.001,10000,735654,1626,0,"Kolmogorov-Smirnov test for uniformity",0.999668525099714,0.036
115,0.001,10000,735616,1664,0,"Kolmogorov-Smirnov test for uniformity",0.999669046637297,0.047
120,0.001,10000,735622,1658,0,"Kolmogorov-Smirnov test for uniformity",0.999559157454142,0.071
125,0.001,10000,735575,1705,0,"Kolmogorov-Smirnov test for uniformity",0.999664458587695,0.048
130,0.001,10000,735631,1649,0,"Kolmogorov-Smirnov test for uniformity",0.99945947324166,0.114
135,0.001,10000,735428,1852,0,"Kolmogorov-Smirnov test for uniformity",0.999665098390852,0.04
140,0.001,10000,735700,1580,0,"Kolmogorov-Smirnov test for uniformity",0.999759660258242,0.018
145,0.001,10000,735557,1723,0,"Kolmogorov-Smirnov test for uniformity",0.99966554011226,0.045
150,0.001,10000,735551,1729,0,"Kolmogorov-Smirnov test for uniformity",0.999665753779139,0.038
