ensembl_gene_id	gene_biotype	gene	percentage_gene_gc_content	total_counts	n_cells_by_counts
ENSG00000000003	protein_coding	TSPAN6	40.4	846	784
ENSG00000000419	protein_coding	DPM1	39.85	2404	2086
ENSG00000000457	protein_coding	SCYL3	40.14	251	226
ENSG00000000971	protein_coding	CFH	35.2	457	400
ENSG00000001036	protein_coding	FUCA2	39.72	1079	959
ENSG00000001084	protein_coding	GCLC	40.16	965	896
ENSG00000001167	protein_coding	NFYA	40	232	224
ENSG00000001461	protein_coding	NIPAL3	44.99	2333	1772
ENSG00000001497	protein_coding	LAS1L	50.45	970	864
ENSG00000001561	protein_coding	ENPP4	36.05	4712	3507
ENSG00000001629	protein_coding	ANKIB1	36.83	3589	2824
ENSG00000001630	protein_coding	CYP51A1	38.25	8204	4538
ENSG00000001631	protein_coding	KRIT1	36.48	6827	4815
ENSG00000002016	protein_coding	RAD52	45.19	541	509
ENSG00000002330	protein_coding	BAD	53.92	4077	3133
ENSG00000002549	protein_coding	LAP3	44.17	5815	4125
ENSG00000002587	protein_coding	HS3ST1	43.92	5323	3401
ENSG00000002746	protein_coding	HECW1	42.03	554	462
ENSG00000002822	protein_coding	MAD1L1	55.65	821	772
ENSG00000002834	protein_coding	LASP1	53.69	873	761
ENSG00000002919	protein_coding	SNX11	48	1079	1018
ENSG00000002933	protein_coding	TMEM176A	57.55	1899	1201
ENSG00000003056	protein_coding	M6PR	42.37	4686	3778
ENSG00000003096	protein_coding	KLHL13	36.56	452	418
ENSG00000003147	protein_coding	ICA1	40.3	404	354
ENSG00000003249	protein_coding	DBNDD1	59.39	540	456
ENSG00000003393	protein_coding	ALS2	37.99	36	33
ENSG00000003402	protein_coding	CFLAR	44.35	505	477
ENSG00000003436	protein_coding	TFPI	36.6	101	92
ENSG00000003509	protein_coding	NDUFAF7	38.97	1158	1036
ENSG00000003756	protein_coding	RBM5	44.45	4015	3247
ENSG00000003987	protein_coding	MTMR7	40.26	223	206
ENSG00000004059	protein_coding	ARF5	56.14	12813	7180
ENSG00000004139	protein_coding	SARM1	51.55	81	74
ENSG00000004142	protein_coding	POLDIP2	49.87	3274	2633
ENSG00000004455	protein_coding	AK2	46.32	1975	1731
ENSG00000004478	protein_coding	FKBP4	51.53	5034	3678
ENSG00000004487	protein_coding	KDM1A	39.17	916	850
ENSG00000004534	protein_coding	RBM6	44.14	1597	1400
ENSG00000004660	protein_coding	CAMKK1	57.17	345	302
ENSG00000004700	protein_coding	RECQL	37.57	353	332
ENSG00000004766	protein_coding	VPS50	34.82	1648	1431
ENSG00000004776	protein_coding	HSPB6	62.52	43	40
ENSG00000004777	protein_coding	ARHGAP33	60.93	955	906
ENSG00000004799	protein_coding	PDK4	36.08	19	17
ENSG00000004848	protein_coding	ARX	54.62	1376	860
ENSG00000004864	protein_coding	SLC25A13	39.76	518	485
ENSG00000004866	protein_coding	ST7	39.15	281	247
ENSG00000004897	protein_coding	CDC27	38.66	663	626
ENSG00000004961	protein_coding	HCCS	42.97	1946	1698
ENSG00000004975	protein_coding	DVL2	55.13	371	343
ENSG00000005001	protein_coding	PRSS22	59.35	10	8
ENSG00000005007	protein_coding	UPF1	55.16	702	658
ENSG00000005020	protein_coding	SKAP2	36.94	954	863
ENSG00000005022	protein_coding	SLC25A5	52.54	13798	7050
ENSG00000005075	protein_coding	POLR2J	55.04	6316	4563
ENSG00000005100	protein_coding	DHX33	45.78	328	305
ENSG00000005102	protein_coding	MEOX1	51.6	12	7
ENSG00000005108	protein_coding	THSD7A	35.51	1142	979
ENSG00000005156	protein_coding	LIG3	47.21	849	788
ENSG00000005175	protein_coding	RPAP3	36.55	591	550
ENSG00000005194	protein_coding	CIAPIN1	44.27	2342	1997
ENSG00000005206	protein_coding	SPPL2B	61.04	1526	1364
ENSG00000005238	protein_coding	FAM214B	54.68	1236	1108
ENSG00000005243	protein_coding	COPZ2	52.71	37	33
ENSG00000005249	protein_coding	PRKAR2B	38.61	260	230
ENSG00000005302	protein_coding	MSL3	42.85	653	624
ENSG00000005339	protein_coding	CREBBP	45.01	2218	1850
ENSG00000005436	protein_coding	GCFC2	36.39	296	283
ENSG00000005448	protein_coding	WDR54	54.68	139	130
ENSG00000005469	protein_coding	CROT	37.43	381	349
ENSG00000005483	protein_coding	KMT2E	37.41	6100	4447
ENSG00000005486	protein_coding	RHBDD2	47.79	1439	1210
ENSG00000005513	protein_coding	SOX8	64.99	6760	4233
ENSG00000005700	protein_coding	IBTK	36.07	486	457
ENSG00000005810	protein_coding	MYCBP2	35.73	5119	3425
ENSG00000005812	protein_coding	FBXL3	38.36	1559	1412
ENSG00000005882	protein_coding	PDK2	56.67	1132	1030
ENSG00000005884	protein_coding	ITGA3	52.64	69	62
ENSG00000005889	protein_coding	ZFX	40.77	256	244
ENSG00000005893	protein_coding	LAMP2	38.79	4276	3226
ENSG00000005961	protein_coding	ITGA2B	54.81	235	212
ENSG00000006007	protein_coding	GDE1	40.14	24675	9187
ENSG00000006016	protein_coding	CRLF1	55.32	143	121
ENSG00000006042	protein_coding	TMEM98	48.47	2715	2176
ENSG00000006062	protein_coding	MAP3K14	49.97	72	67
ENSG00000006071	protein_coding	ABCC8	50.02	18	15
ENSG00000006116	protein_coding	CACNG3	44.54	586	398
ENSG00000006118	protein_coding	TMEM132A	58.71	1112	946
ENSG00000006128	protein_coding	TAC1	39.5	274	148
ENSG00000006194	protein_coding	ZNF263	47.09	570	511
ENSG00000006210	protein_coding	CX3CL1	53.75	2849	1522
ENSG00000006283	protein_coding	CACNA1G	56.94	344	303
ENSG00000006327	protein_coding	TNFRSF12A	60.12	215	195
ENSG00000006377	protein_coding	DLX6	49.51	468	377
ENSG00000006432	protein_coding	MAP3K9	44.98	406	357
ENSG00000006451	protein_coding	RALA	39.66	8196	5253
ENSG00000006459	protein_coding	KDM7A	39.15	1401	1293
ENSG00000006468	protein_coding	ETV1	36.3	12064	5665
ENSG00000006530	protein_coding	AGK	39.57	879	778
ENSG00000006534	protein_coding	ALDH3B1	58.4	988	848
ENSG00000006576	protein_coding	PHTF2	37.65	42	40
ENSG00000006607	protein_coding	FARP2	45.58	83	74
ENSG00000006625	protein_coding	GGCT	40.54	2696	2304
ENSG00000006652	protein_coding	IFRD1	39.45	1700	1503
ENSG00000006695	protein_coding	COX10	39.2	657	591
ENSG00000006704	protein_coding	GTF2IRD1	52.72	432	395
ENSG00000006712	protein_coding	PAF1	52.37	1095	1014
ENSG00000006715	protein_coding	VPS41	38.35	2498	2005
ENSG00000006740	protein_coding	ARHGAP44	42.69	813	604
ENSG00000006744	protein_coding	ELAC2	48.02	273	252
ENSG00000006788	protein_coding	MYH13	45.88	95	76
ENSG00000006831	protein_coding	ADIPOR2	39.4	3327	2703
ENSG00000006837	protein_coding	CDKL3	40.16	237	226
ENSG00000007001	protein_coding	UPP2	40.24	448	418
ENSG00000007047	protein_coding	MARK4	53.57	1099	929
ENSG00000007062	protein_coding	PROM1	43.17	96	86
ENSG00000007080	protein_coding	CCDC124	55.84	5796	3904
ENSG00000007168	protein_coding	PAFAH1B1	42.4	15373	7631
ENSG00000007174	protein_coding	DNAH9	42.62	98	82
ENSG00000007202	protein_coding	KIAA0100	46.75	2600	2089
ENSG00000007255	protein_coding	TRAPPC6A	56.86	2238	1954
ENSG00000007264	protein_coding	MATK	54.4	1860	1321
ENSG00000007312	protein_coding	CD79B	60.69	65	58
ENSG00000007341	protein_coding	ST7L	39.05	1662	1458
ENSG00000007376	protein_coding	RPUSD1	67.17	1208	1010
ENSG00000007384	protein_coding	RHBDF1	61.15	42	23
ENSG00000007392	protein_coding	LUC7L	47.33	1624	1414
ENSG00000007402	protein_coding	CACNA2D2	56.52	1113	598
ENSG00000007516	protein_coding	BAIAP3	65.72	187	144
ENSG00000007520	protein_coding	TSR3	62.41	1954	1713
ENSG00000007541	protein_coding	PIGQ	64.36	4630	3450
ENSG00000007545	protein_coding	CRAMP1	53.11	794	718
ENSG00000007923	protein_coding	DNAJC11	46.6	1547	1355
ENSG00000007944	protein_coding	MYLIP	40.25	348	312
ENSG00000008018	protein_coding	PSMB1	39.78	17813	8596
ENSG00000008056	protein_coding	SYN1	47.76	3468	2021
ENSG00000008083	protein_coding	JARID2	43.92	1379	1235
ENSG00000008086	protein_coding	CDKL5	40.21	1916	1531
ENSG00000008118	protein_coding	CAMK1G	47.01	396	281
ENSG00000008128	protein_coding	CDK11A	52.05	1883	1689
ENSG00000008130	protein_coding	NADK	53.7	2395	2055
ENSG00000008256	protein_coding	CYTH3	44.78	736	665
ENSG00000008277	protein_coding	ADAM22	37.29	2306	1809
ENSG00000008282	protein_coding	SYPL1	38.18	6548	4386
ENSG00000008283	protein_coding	CYB561	57.39	1097	815
ENSG00000008294	protein_coding	SPAG9	40	4780	3510
ENSG00000008300	protein_coding	CELSR3	59.87	221	193
ENSG00000008382	protein_coding	MPND	55.95	2571	2127
ENSG00000008405	protein_coding	CRY1	37.55	120	112
ENSG00000008438	protein_coding	PGLYRP1	57.65	33	28
ENSG00000008441	protein_coding	NFIX	55.28	6033	3919
ENSG00000008710	protein_coding	PKD1	63.1	599	560
ENSG00000008735	protein_coding	MAPK8IP2	62.89	1656	1114
ENSG00000008838	protein_coding	MED24	50.63	289	269
ENSG00000008853	protein_coding	RHOBTB2	53.51	573	521
ENSG00000008869	protein_coding	HEATR5B	38.6	304	268
ENSG00000008952	protein_coding	SEC62	36.6	27465	9711
ENSG00000008988	protein_coding	RPS20	41.97	21873	9351
ENSG00000009307	protein_coding	CSDE1	38.28	5838	4167
ENSG00000009335	protein_coding	UBE3C	42.12	1204	1061
ENSG00000009413	protein_coding	REV3L	36.9	586	551
ENSG00000009694	protein_coding	TENM1	37.17	469	399
ENSG00000009780	protein_coding	FAM76A	43.35	2076	1829
ENSG00000009790	protein_coding	TRAF3IP3	45.61	61	57
ENSG00000009830	protein_coding	POMT2	47.08	438	410
ENSG00000009844	protein_coding	VTA1	35.53	2806	2424
ENSG00000009950	protein_coding	MLXIPL	56.25	148	134
ENSG00000009954	protein_coding	BAZ1B	43.19	1625	1483
ENSG00000010017	protein_coding	RANBP9	37.08	1186	1069
ENSG00000010244	protein_coding	ZNF207	38.47	2336	2005
ENSG00000010256	protein_coding	UQCRC1	53.04	6880	4568
ENSG00000010270	protein_coding	STARD3NL	38.4	8703	5771
ENSG00000010278	protein_coding	CD9	51.04	22688	7604
ENSG00000010282	protein_coding	HHATL	56.48	584	545
ENSG00000010292	protein_coding	NCAPD2	46.34	84	78
ENSG00000010295	protein_coding	IFFO1	54.32	2494	2135
ENSG00000010318	protein_coding	PHF7	45.17	27	24
ENSG00000010327	protein_coding	STAB1	60.65	126	116
ENSG00000010361	protein_coding	FUZ	52.28	523	503
ENSG00000010404	protein_coding	IDS	45.34	2756	2233
ENSG00000010671	protein_coding	BTK	43.18	60	50
ENSG00000010704	protein_coding	HFE	44.85	519	443
ENSG00000010803	protein_coding	SCMH1	39.5	1281	1116
ENSG00000010810	protein_coding	FYN	42.42	1884	1640
ENSG00000010818	protein_coding	HIVEP2	38.72	1175	922
ENSG00000010932	protein_coding	FMO1	40.91	122	104
ENSG00000011009	protein_coding	LYPLA2	62.28	1066	978
ENSG00000011021	protein_coding	CLCN6	48.13	2087	1762
ENSG00000011083	protein_coding	SLC6A7	54.63	568	452
ENSG00000011105	protein_coding	TSPAN9	52.13	1752	1440
ENSG00000011143	protein_coding	MKS1	47.46	377	361
ENSG00000011198	protein_coding	ABHD5	40.26	2524	2098
ENSG00000011243	protein_coding	AKAP8L	48.86	1843	1639
ENSG00000011258	protein_coding	MBTD1	39.5	1671	1458
ENSG00000011260	protein_coding	UTP18	40.36	232	221
ENSG00000011275	protein_coding	RNF216	45.52	1157	1066
ENSG00000011295	protein_coding	TTC19	40.8	2088	1528
ENSG00000011304	protein_coding	PTBP1	61.17	343	320
ENSG00000011332	protein_coding	DPF1	57.15	208	191
ENSG00000011347	protein_coding	SYT7	57.15	1852	1129
ENSG00000011376	protein_coding	LARS2	42.34	101	96
ENSG00000011405	protein_coding	PIK3C2A	39.84	1587	1427
ENSG00000011422	protein_coding	PLAUR	49.94	21	19
ENSG00000011426	protein_coding	ANLN	37.87	3267	2296
ENSG00000011451	protein_coding	WIZ	58.16	1183	1027
ENSG00000011454	protein_coding	RABGAP1	38.49	2026	1787
ENSG00000011465	protein_coding	DCN	34.9	12	6
ENSG00000011478	protein_coding	QPCTL	52.46	585	551
ENSG00000011485	protein_coding	PPP5C	50.7	2339	1930
ENSG00000011523	protein_coding	CEP68	47.81	208	201
ENSG00000011566	protein_coding	MAP4K3	36.89	859	795
ENSG00000011600	protein_coding	TYROBP	51.45	11189	2232
ENSG00000011638	protein_coding	TMEM159	43.7	3370	2660
ENSG00000011677	protein_coding	GABRA3	37.36	834	588
ENSG00000012061	protein_coding	ERCC1	52.1	632	600
ENSG00000012171	protein_coding	SEMA3B	60.71	42	34
ENSG00000012174	protein_coding	MBTPS2	38.5	377	349
ENSG00000012232	protein_coding	EXTL3	44.36	1390	1188
ENSG00000012660	protein_coding	ELOVL5	41.88	4195	3120
ENSG00000012817	protein_coding	KDM5D	38.66	209	197
ENSG00000012822	protein_coding	CALCOCO1	49.2	780	726
ENSG00000012983	protein_coding	MAP4K5	37.27	2158	1789
ENSG00000013016	protein_coding	EHD3	50.24	1557	1286
ENSG00000013275	protein_coding	PSMC4	49.94	4113	3172
ENSG00000013288	protein_coding	MAN2B2	54.58	301	288
ENSG00000013293	protein_coding	SLC7A14	42.15	1081	830
ENSG00000013297	protein_coding	CLDN11	43.14	205738	8591
ENSG00000013306	protein_coding	SLC25A39	61.11	1601	1418
ENSG00000013364	protein_coding	MVP	52.54	520	501
ENSG00000013374	protein_coding	NUB1	44.96	1702	1480
ENSG00000013375	protein_coding	PGM3	38.66	82	79
ENSG00000013392	protein_coding	RWDD2A	44.9	353	290
ENSG00000013441	protein_coding	CLK1	41.85	1927	1694
ENSG00000013503	protein_coding	POLR3B	39.73	250	233
ENSG00000013561	protein_coding	RNF14	42.05	5296	3228
ENSG00000013563	protein_coding	DNASE1L1	54.46	25	23
ENSG00000013583	protein_coding	HEBP1	43.51	10528	5844
ENSG00000013810	protein_coding	TACC3	56.91	66	62
ENSG00000014123	protein_coding	UFL1	33.38	1264	1121
ENSG00000014216	protein_coding	CAPN1	51.18	22	18
ENSG00000014641	protein_coding	MDH1	38.05	11651	4570
ENSG00000014824	protein_coding	SLC30A9	36.97	3222	2542
ENSG00000014914	protein_coding	MTMR11	49.97	12	10
ENSG00000015171	protein_coding	ZMYND11	37.8	2815	2342
ENSG00000015285	protein_coding	WAS	50.82	90	80
ENSG00000015475	protein_coding	BID	52.51	389	363
ENSG00000015479	protein_coding	MATR3	38.77	4975	3541
ENSG00000015532	protein_coding	XYLT2	56.47	441	391
ENSG00000015592	protein_coding	STMN4	48.03	54793	9717
ENSG00000015676	protein_coding	NUDCD3	44.47	3885	2963
ENSG00000016391	protein_coding	CHDH	49.35	431	387
ENSG00000016864	protein_coding	GLT8D1	44.49	983	918
ENSG00000017260	protein_coding	ATP2C1	37.56	5495	4094
ENSG00000017427	protein_coding	IGF1	39.7	1241	794
ENSG00000017797	protein_coding	RALBP1	41.37	7789	5013
ENSG00000018189	protein_coding	RUFY3	39.9	4953	3433
ENSG00000018236	protein_coding	CNTN1	35.21	5744	3356
ENSG00000018280	protein_coding	SLC11A1	55.34	213	180
ENSG00000018510	protein_coding	AGPS	36.49	1540	1383
ENSG00000018610	protein_coding	CXorf56	44.29	880	803
ENSG00000018625	protein_coding	ATP1A2	50.38	2544	1810
ENSG00000018699	protein_coding	TTC27	39.46	32	28
ENSG00000019144	protein_coding	PHLDB1	54.3	13248	6252
ENSG00000019485	protein_coding	PRDM11	47.84	226	212
ENSG00000019505	protein_coding	SYT13	46.29	1760	1038
ENSG00000019582	protein_coding	CD74	53.07	145	102
ENSG00000019995	protein_coding	ZRANB1	39.68	2177	1901
ENSG00000020129	protein_coding	NCDN	57.71	7146	3565
ENSG00000020256	protein_coding	ZFP64	44.05	312	247
ENSG00000020426	protein_coding	MNAT1	36.62	1057	973
ENSG00000020577	protein_coding	SAMD4A	43.1	1088	971
ENSG00000021300	protein_coding	PLEKHB1	52.94	18947	7083
ENSG00000021355	protein_coding	SERPINB1	43.07	2627	1464
ENSG00000021574	protein_coding	SPAST	40	2082	1790
ENSG00000021762	protein_coding	OSBPL5	57	275	263
ENSG00000021776	protein_coding	AQR	37.52	809	753
ENSG00000022267	protein_coding	FHL1	42.07	2178	1836
ENSG00000022355	protein_coding	GABRA1	34.99	2831	1389
ENSG00000022567	protein_coding	SLC45A4	52.64	454	419
ENSG00000022840	protein_coding	RNF10	45.25	4131	3314
ENSG00000022976	protein_coding	ZNF839	49.04	512	471
ENSG00000023041	protein_coding	ZDHHC6	38.61	1211	1119
ENSG00000023171	protein_coding	GRAMD1B	45.8	1666	1333
ENSG00000023191	protein_coding	RNH1	60.36	1597	1407
ENSG00000023228	protein_coding	NDUFS1	40.76	1717	1525
ENSG00000023287	protein_coding	RB1CC1	37.73	2476	2042
ENSG00000023318	protein_coding	ERP44	37.85	1602	1455
ENSG00000023330	protein_coding	ALAS1	45.47	779	705
ENSG00000023516	protein_coding	AKAP11	36.45	3842	2830
ENSG00000023572	protein_coding	GLRX2	39.59	4598	3482
ENSG00000023608	protein_coding	SNAPC1	39.55	708	663
ENSG00000023697	protein_coding	DERA	39.11	436	414
ENSG00000023734	protein_coding	STRAP	36.48	3760	2997
ENSG00000023902	protein_coding	PLEKHO1	51.63	1387	1121
ENSG00000023909	protein_coding	GCLM	36.37	4121	3260
ENSG00000024048	protein_coding	UBR2	39.1	2936	2460
ENSG00000024862	protein_coding	CCDC28A	39.18	541	468
ENSG00000025039	protein_coding	RRAGD	42.23	193	172
ENSG00000025293	protein_coding	PHF20	44.08	2920	2451
ENSG00000025770	protein_coding	NCAPH2	55.48	1706	1499
ENSG00000025772	protein_coding	TOMM34	44.95	1143	1020
ENSG00000025796	protein_coding	SEC63	39.82	1664	1446
ENSG00000025800	protein_coding	KPNA6	44.21	1400	1263
ENSG00000026025	protein_coding	VIM	46.3	122	99
ENSG00000026652	protein_coding	AGPAT4	45.36	12834	6359
ENSG00000027001	protein_coding	MIPEP	39.76	47	38
ENSG00000027697	protein_coding	IFNGR1	38.81	4294	2122
ENSG00000027847	protein_coding	B4GALT7	57.85	588	550
ENSG00000028116	protein_coding	VRK2	35.24	144	132
ENSG00000028137	protein_coding	TNFRSF1B	55.4	76	68
ENSG00000028203	protein_coding	VEZT	38.6	1474	1224
ENSG00000028277	protein_coding	POU2F2	51.31	832	703
ENSG00000028310	protein_coding	BRD9	55.12	2136	1793
ENSG00000028528	protein_coding	SNX1	43.68	2116	1850
ENSG00000028839	protein_coding	TBPL1	37.6	1664	1469
ENSG00000029363	protein_coding	BCLAF1	35.59	2451	2054
ENSG00000029364	protein_coding	SLC39A9	40.2	1152	1076
ENSG00000029534	protein_coding	ANK1	49.32	268	227
ENSG00000029559	protein_coding	IBSP	36.14	11	8
ENSG00000029725	protein_coding	RABEP1	41.34	3078	2373
ENSG00000030066	protein_coding	NUP160	41.86	69	62
ENSG00000030110	protein_coding	BAK1	57.18	623	586
ENSG00000030419	protein_coding	IKZF2	34.84	703	640
ENSG00000030582	protein_coding	GRN	57.73	3878	2486
ENSG00000031003	protein_coding	FAM13B	40.05	46	44
ENSG00000031081	protein_coding	ARHGAP31	43.44	439	379
ENSG00000031691	protein_coding	CENPQ	37.99	54	51
ENSG00000031698	protein_coding	SARS	43.12	4864	3402
ENSG00000031823	protein_coding	RANBP3	52.74	1191	1101
ENSG00000032219	protein_coding	ARID4A	37.46	1723	1439
ENSG00000032444	protein_coding	PNPLA6	55.88	1021	916
ENSG00000032742	protein_coding	IFT88	38.74	97	91
ENSG00000033011	protein_coding	ALG1	49.3	788	750
ENSG00000033030	protein_coding	ZCCHC8	42.68	553	534
ENSG00000033050	protein_coding	ABCF2	48.3	715	649
ENSG00000033100	protein_coding	CHPF2	56.82	589	536
ENSG00000033122	protein_coding	LRRC7	35.36	729	576
ENSG00000033170	protein_coding	FUT8	37.41	1108	1030
ENSG00000033178	protein_coding	UBA6	35.51	422	403
ENSG00000033327	protein_coding	GAB2	41.71	188	171
ENSG00000033627	protein_coding	ATP6V0A1	45.47	3516	2382
ENSG00000033800	protein_coding	PIAS1	38.09	1228	1095
ENSG00000033867	protein_coding	SLC4A7	36.85	354	332
ENSG00000034053	protein_coding	APBA2	48.63	1653	1110
ENSG00000034152	protein_coding	MAP2K3	56.98	478	441
ENSG00000034677	protein_coding	RNF19A	38.61	768	726
ENSG00000034693	protein_coding	PEX3	35.1	782	748
ENSG00000034713	protein_coding	GABARAPL2	47.12	13899	7294
ENSG00000035115	protein_coding	SH3YL1	40.78	561	497
ENSG00000035141	protein_coding	FAM136A	48.46	1343	1171
ENSG00000035403	protein_coding	VCL	41.45	1343	1176
ENSG00000035499	protein_coding	DEPDC1B	38.63	35	29
ENSG00000035664	protein_coding	DAPK2	46.89	1816	1541
ENSG00000035681	protein_coding	NSMAF	38.41	242	230
ENSG00000035687	protein_coding	ADSS	38.09	1360	1202
ENSG00000035862	protein_coding	TIMP2	52.6	9680	5437
ENSG00000035928	protein_coding	RFC1	39.26	2012	1738
ENSG00000036054	protein_coding	TBC1D23	36.47	415	381
ENSG00000036257	protein_coding	CUL3	37.23	1567	1348
ENSG00000036530	protein_coding	CYP46A1	47.29	2203	1632
ENSG00000036672	protein_coding	USP2	54.63	1659	1462
